id,name,neighbourhood_cleansed,latitude,longitude,price,security_deposit,cleaning_fee,extra_people,guests_included,property_type,room_type,accommodates,bathrooms,bedrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,availability_365,host_id,host_is_superhost,host_identity_verified,is_superhost
33578554,PALERMO | BRIGHT & LARGE 2BR in GREAT LOCATION,Palermo,-34.58326,-58.41287,6306.0,16595.0,3319.0,996.0,4,Apartment,Entire home/apt,4,2.5,2.0,3.0,19,1.56,93.0,10.0,347,231822087,False,False,0.0
33579416,La Torre de Babel - Habitación 3,Villa Crespo,-34.59457,-58.44307,863.0,0.0,3319.0,797.0,2,House,Private room,2,2.0,1.0,1.0,0,0.0,,,365,140773210,False,False,0.0
33581672,Milhouse Avenue Hab. Twin con Baño Privado,Monserrat,-34.60975,-58.38384,6638.0,,,0.0,1,Hostel,Hotel room,2,1.0,1.0,2.0,0,0.0,,,334,251605509,False,False,0.0
33582837,Belgrano chico,Belgrano,-34.5568,-58.44647,2390.0,0.0,1195.0,0.0,1,Apartment,Entire home/apt,3,1.5,2.0,2.0,11,1.02,84.0,10.0,365,100972248,False,False,0.0
33582968,STUDIO Carranza - By Hart,Palermo,-34.58149,-58.43677,3120.0,6638.0,0.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,365,12450540,False,False,0.0
33583908,City Madero Buenos Aires,Puerto Madero,-34.61429,-58.3626,4978.0,13276.0,1128.0,0.0,1,Apartment,Entire home/apt,3,1.0,0.0,2.0,3,0.27,100.0,10.0,351,73536121,True,True,0.0
33584366,Milhouse Avenue Hab. Triple con Baño Privado,Monserrat,-34.60924,-58.38395,6638.0,,,0.0,1,Hostel,Hotel room,3,1.0,1.0,3.0,0,0.0,,,328,251605509,False,False,0.0
33585304,"Luminous apt with security, wifi great location",Recoleta,-34.58665,-58.39985,6107.0,39828.0,3983.0,0.0,1,Apartment,Entire home/apt,4,2.0,2.0,2.0,11,0.89,95.0,10.0,268,9785115,False,False,0.0
33586568,2 ambientes en Paraguay y Talcahuano,Retiro,-34.59815,-58.38404,2655.0,33190.0,3319.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,88,226049318,False,False,0.0
33587109,Luminoso departamento en Parque Lezama,Boca,-34.62783,-58.36759,2124.0,21554.0,0.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,3.0,5,0.85,96.0,9.0,363,18667910,True,True,0.0
33587242,HERMOSO departamento de diseño en BA,Almagro,-34.61,-58.42039,1925.0,23233.0,863.0,0.0,3,Apartment,Entire home/apt,3,1.5,1.0,2.0,24,1.95,100.0,10.0,175,66105076,True,False,0.0
